nohup: ignoring input

Loading pipeline components...:   0%|          | 0/7 [00:00<?, ?it/s]
Loading pipeline components...:  14%|█▍        | 1/7 [00:00<00:01,  4.01it/s]
Loading pipeline components...:  71%|███████▏  | 5/7 [00:00<00:00,  9.99it/s]
Loading pipeline components...:  86%|████████▌ | 6/7 [00:00<00:00,  8.94it/s]
Loading pipeline components...: 100%|██████████| 7/7 [00:00<00:00,  9.40it/s]

Vanilla:   0%|          | 0/1000 [00:00<?, ?it/s]
Vanilla:   0%|          | 1/1000 [00:02<44:26,  2.67s/it]
Vanilla:   0%|          | 2/1000 [00:05<42:07,  2.53s/it]
Vanilla:   0%|          | 3/1000 [00:07<41:23,  2.49s/it]
Vanilla:   0%|          | 4/1000 [00:09<41:00,  2.47s/it]
Vanilla:   0%|          | 5/1000 [00:12<40:49,  2.46s/it]
Vanilla:   1%|          | 6/1000 [00:14<40:46,  2.46s/it]
Vanilla:   1%|          | 7/1000 [00:17<40:48,  2.47s/it]
Vanilla:   1%|          | 8/1000 [00:19<40:44,  2.46s/it]
Vanilla:   1%|          | 9/1000 [00:22<40:46,  2.47s/it]
Vanilla:   1%|          | 10/1000 [00:24<40:45,  2.47s/it]
Vanilla:   1%|          | 11/1000 [00:27<40:52,  2.48s/it]
Vanilla:   1%|          | 12/1000 [00:29<40:53,  2.48s/it]
Vanilla:   1%|▏         | 13/1000 [00:32<40:54,  2.49s/it]
Vanilla:   1%|▏         | 14/1000 [00:34<41:02,  2.50s/it]
Vanilla:   2%|▏         | 15/1000 [00:37<41:03,  2.50s/it]
Vanilla:   2%|▏         | 16/1000 [00:39<41:01,  2.50s/it]
Vanilla:   2%|▏         | 17/1000 [00:42<41:06,  2.51s/it]
Vanilla:   2%|▏         | 18/1000 [00:44<41:05,  2.51s/it]
Vanilla:   2%|▏         | 19/1000 [00:47<41:11,  2.52s/it]
Vanilla:   2%|▏         | 20/1000 [00:49<41:12,  2.52s/it]
Vanilla:   2%|▏         | 21/1000 [00:52<41:17,  2.53s/it]
Vanilla:   2%|▏         | 22/1000 [00:55<41:16,  2.53s/it]
Vanilla:   2%|▏         | 23/1000 [00:57<41:18,  2.54s/it]
Vanilla:   2%|▏         | 24/1000 [01:00<41:18,  2.54s/it]
Vanilla:   2%|▎         | 25/1000 [01:02<41:19,  2.54s/it]
Vanilla:   3%|▎         | 26/1000 [01:05<41:16,  2.54s/it]
Vanilla:   3%|▎         | 27/1000 [01:07<41:16,  2.55s/it]
Vanilla:   3%|▎         | 28/1000 [01:10<41:17,  2.55s/it]
Vanilla:   3%|▎         | 29/1000 [01:12<41:16,  2.55s/it]
Vanilla:   3%|▎         | 30/1000 [01:15<41:13,  2.55s/it]
Vanilla:   3%|▎         | 31/1000 [01:17<41:15,  2.55s/it]
Vanilla:   3%|▎         | 32/1000 [01:20<41:15,  2.56s/it]
Vanilla:   3%|▎         | 33/1000 [01:23<41:14,  2.56s/it]
Vanilla:   3%|▎         | 34/1000 [01:25<41:10,  2.56s/it]
Vanilla:   4%|▎         | 35/1000 [01:28<41:07,  2.56s/it]
Vanilla:   4%|▎         | 36/1000 [01:30<41:10,  2.56s/it]
Vanilla:   4%|▎         | 37/1000 [01:33<41:13,  2.57s/it]
Vanilla:   4%|▍         | 38/1000 [01:35<41:15,  2.57s/it]
Vanilla:   4%|▍         | 39/1000 [01:38<41:13,  2.57s/it]
Vanilla:   4%|▍         | 40/1000 [01:41<41:08,  2.57s/it]
Vanilla:   4%|▍         | 41/1000 [01:43<41:05,  2.57s/it]
Vanilla:   4%|▍         | 42/1000 [01:46<41:05,  2.57s/it]
Vanilla:   4%|▍         | 43/1000 [01:48<40:57,  2.57s/it]
Vanilla:   4%|▍         | 44/1000 [01:51<40:57,  2.57s/it]
Vanilla:   4%|▍         | 45/1000 [01:53<40:58,  2.57s/it]
Vanilla:   5%|▍         | 46/1000 [01:56<40:47,  2.57s/it]
Vanilla:   5%|▍         | 47/1000 [01:59<40:48,  2.57s/it]
Vanilla:   5%|▍         | 48/1000 [02:01<40:45,  2.57s/it]
Vanilla:   5%|▍         | 49/1000 [02:04<40:43,  2.57s/it]
Vanilla:   5%|▌         | 50/1000 [02:06<40:51,  2.58s/it]
Vanilla:   5%|▌         | 51/1000 [02:09<41:09,  2.60s/it]
Vanilla:   5%|▌         | 52/1000 [02:12<41:09,  2.61s/it]
Vanilla:   5%|▌         | 53/1000 [02:14<40:55,  2.59s/it]
Vanilla:   5%|▌         | 54/1000 [02:17<40:59,  2.60s/it]
Vanilla:   6%|▌         | 55/1000 [02:19<40:54,  2.60s/it]
Vanilla:   6%|▌         | 56/1000 [02:22<40:47,  2.59s/it]
Vanilla:   6%|▌         | 57/1000 [02:25<40:37,  2.58s/it]
Vanilla:   6%|▌         | 58/1000 [02:27<40:29,  2.58s/it]
Vanilla:   6%|▌         | 59/1000 [02:30<40:26,  2.58s/it]
Vanilla:   6%|▌         | 60/1000 [02:32<40:18,  2.57s/it]
Vanilla:   6%|▌         | 61/1000 [02:35<40:13,  2.57s/it]
Vanilla:   6%|▌         | 62/1000 [02:37<40:09,  2.57s/it]
Vanilla:   6%|▋         | 63/1000 [02:40<40:10,  2.57s/it]
Vanilla:   6%|▋         | 64/1000 [02:43<40:11,  2.58s/it]
Vanilla:   6%|▋         | 65/1000 [02:45<40:09,  2.58s/it]
Vanilla:   7%|▋         | 66/1000 [02:48<40:03,  2.57s/it]
Vanilla:   7%|▋         | 67/1000 [02:50<39:58,  2.57s/it]
Vanilla:   7%|▋         | 68/1000 [02:53<39:52,  2.57s/it]
Vanilla:   7%|▋         | 69/1000 [02:55<39:54,  2.57s/it]
